ra,dec
53.6511231,20.5990205
170.1408561,-4.8070039
179.7058532,-3.3894613
184.6021322,-0.5512886
168.9366786,0.4880606
183.7203635,1.9681688
185.1880932,2.2823788
175.0972238,4.5574311
173.9385102,4.6164303
169.483654,5.988289
175.206752,6.1348146
333.1100738,-16.3418863
331.2771441,-14.1218019
331.2771441,-14.1218019
331.2771441,-14.1218019
341.2404563,-13.9011223
337.5136198,-13.6101475
337.5136198,-13.6101475
335.0949721,-9.5097112
337.6178427,-7.972456
337.6178427,-7.972456
130.4102091,17.6399744
136.5741931,19.4020565
207.2061241,-17.6098985
207.2061241,-17.6098985
202.3313765,-14.3594358
202.488752,-12.7347749
205.4445125,-10.8625468
205.4445125,-10.8625468
210.6376171,-10.0236852
210.6376171,-10.0236852
204.2215065,-7.3180577
204.2215065,-7.3180577
16.7615005,6.588798
13.4321524,7.9952914
13.0800239,10.7947051
13.0800239,10.7947051
189.5748998,-5.2446247
186.4860415,-1.4047214
78.9198197,16.2786991
159.3890808,11.8427484
228.2482353,-16.7246474
228.2482353,-16.7246474
228.2482353,-16.7246474
134.7188514,21.0747961
351.7717763,-1.2853435
351.7717763,-1.2853435
351.7717763,-1.2853435
99.8979924,25.4824005
100.8480137,27.2521823
289.4007603,-22.3900092
289.202402,-19.3559227
291.4787013,-23.2028183
290.8101704,-20.1663771
183.4724742,-0.3934357
183.4724742,-0.3934357
231.7420543,-16.5090014
231.7420543,-16.5090014
358.6390056,-4.7233362
358.6390056,-4.7233362
358.6390056,-4.7233362
8.7401487,4.3807215
8.7401487,4.3807215
8.7401487,4.3807215
8.7401487,4.3807215
129.6894456,23.6852651
140.3390845,14.3678691
154.6710977,10.1288464
353.9543517,0.4447043
126.6158279,10.0803708
126.6158279,10.0803708
126.6158279,10.0803708
126.6158279,10.0803708
126.6158279,10.0803708
172.1216476,1.6906217
129.6010863,20.1060074
130.3439097,18.9338205
130.0558953,19.7787519
129.6366594,19.7737202
125.4202985,13.4975122
284.985355,-22.2934206
123.3818484,16.419516
169.0418328,1.9866832
207.3497402,-12.2849182
59.8903081,21.2985263
59.8903081,21.2985263
19.4493823,6.8688469
127.882912,11.922255
126.5535002,12.281851
336.1523363,-11.5793181
133.8557342,10.4692176
133.8557342,10.4692176
132.1268608,15.6558964
132.0098683,16.9017663
173.1919022,2.2446794
126.9366624,17.5793267
126.4762179,20.3593384
134.4441404,21.4532748
133.6410515,23.1329509
204.1418754,-14.9478195
203.5467021,-13.5769705
207.0782895,-11.5889878
204.4376666,-8.5970858
289.1485491,-25.6463233
170.1554763,2.5027534
290.2705419,-19.6908744
182.751404,-9.7652392
182.1662666,-8.7472172
70.1493775,25.0098135
70.1493775,25.0098135
70.1493775,25.0098135
70.1493775,25.0098135
67.4128615,22.8825674
67.4128615,22.8825674
67.4128615,22.8825674
186.870426,-6.1952168
348.9490311,-10.8497391
348.9490311,-10.8497391
348.9490311,-10.8497391
348.9490311,-10.8497391
348.9490311,-10.8497391
348.9490311,-10.8497391
289.066707,-17.9107147
178.0568745,2.5941222
188.1373172,-9.6076115
350.9170464,-1.1891827
350.9170464,-1.1891827
130.0266951,19.0923416
130.0266951,19.0923416
293.8330329,-28.498475
14.5176494,-0.193258
14.5176494,-0.193258
14.5176494,-0.193258
9.8217519,7.2769939
178.1105741,4.2546649
18.3443908,8.9874328
19.3047733,9.5012663
181.6324078,-5.8274311
183.8088709,2.0208765
189.0015173,-2.6696217
189.0015173,-2.6696217
65.469614,21.3532633
65.469614,21.3532633
65.469614,21.3532633
182.699673,-6.2943552
183.7514959,-5.7820178
179.9397081,-5.7216879
179.9397081,-5.7216879
180.5408896,-3.5809053
175.0972238,4.5574311
175.0972238,4.5574311
184.0545174,-3.5530888
183.7938491,-3.4956913
186.0383865,-1.111479
182.3292517,-0.5393421
171.933659,-0.0628488
184.9004881,0.968327
184.9004881,0.968327
184.9004881,0.968327
185.1880932,2.2823788
336.5761233,-18.011665
333.1100738,-16.3418863
337.0442461,-14.5993376
178.3296746,6.4123178
335.4506923,-14.5933554
335.4506923,-14.5933554
332.3407712,-13.4288624
335.3081368,-12.5569819
335.3081368,-12.5569819
60.3752402,15.6251296
60.7929729,16.347166
52.5035514,17.5841081
58.2691796,17.9069486
55.2296156,20.7360891
52.8888524,22.4348186
58.7967878,23.7567524
172.560141,7.5878315
172.560141,7.5878315
126.4643579,10.246577
127.5541103,10.9101444
130.180046,10.9829509
125.007177,14.0194586
125.007177,14.0194586
125.007177,14.0194586
129.1405227,14.4618826
130.2596625,14.6902225
130.2596625,14.6902225
135.3350487,18.8252879
132.5235618,23.1924709
132.5235618,23.1924709
132.5235618,23.1924709
132.5235618,23.1924709
129.8137008,23.3574367
129.8137008,23.3574367
203.6214411,-15.0365158
203.6214411,-15.0365158
174.9602543,0.603596
