ra,dec
178.1611264,-3.0949095
171.2359519,-2.0851597
176.0758509,1.3759629
167.1711994,1.5774487
177.2343917,2.8075643
168.5427766,4.9881156
170.8931433,7.9346019
174.6569397,7.9595633
99.184275,21.651567
97.7746683,17.7011893
99.3805518,26.7864507
98.047519,27.2197459
243.3287332,-27.734057
246.4912542,-26.0104676
244.1720262,-25.9805673
246.2660064,-25.6524338
242.6317089,-25.2672637
244.1277536,-25.2057083
247.1370292,-24.7987348
242.4702944,-24.6983209
244.3290388,-24.6219639
252.2438413,-23.8914989
243.9968794,-23.4935346
246.3961379,-23.4053136
240.3397765,-22.6242127
240.5015904,-22.3567255
241.824054,-22.0602594
239.4185534,-20.9831714
249.5550047,-20.4763359
238.7713112,-20.4356029
242.6099732,-19.6641652
251.8883544,-19.5793619
253.1604535,-19.1616989
245.8522044,-17.2909833
247.3388942,-15.6467547
340.076275,-15.4364075
330.9718285,-15.1061088
335.6488834,-13.0196964
331.5105424,-8.7318618
95.6307287,17.3359732
59.3662764,13.4936805
64.3252762,13.8048326
58.0186639,15.6353741
65.8590018,19.0274791
64.6449782,19.1790392
55.4536223,19.7060261
61.7643174,20.2806046
60.9037642,22.2491134
56.8728112,24.2881368
57.4262424,24.4628062
135.5453448,11.6065889
137.3453763,11.685335
132.8249194,11.7650536
130.925517,11.7826436
136.4957157,11.8196859
130.6353009,11.98279
137.5252038,12.0281523
136.5334223,12.0918411
130.1640344,12.0953726
133.0570679,12.1094069
132.8637222,12.1277962
132.864341,12.1278338
132.637214,12.1393359
130.4887643,12.3994357
135.6982706,12.4332847
130.3694131,12.4465352
130.2153862,12.4486135
131.5157358,12.6767362
133.3980686,12.7191133
130.746916,12.8116845
131.7414253,12.9991012
132.8012702,13.0319453
131.6413223,13.0490997
129.978559,13.2754718
131.6917066,13.4793426
136.0497659,13.4855094
135.274273,13.5092749
137.0941737,13.6225937
130.882181,13.638647
130.2511429,13.6765266
129.647924,13.7066497
131.1290191,14.0265002
124.7453571,14.156803
137.0946357,14.4005896
133.8859513,14.5447545
133.88708,14.547682
138.3288505,14.6068847
134.0284308,14.6429247
137.3993323,14.6447599
135.6995684,14.7279308
130.4176439,14.8015143
