ra,dec
291.93423,48.141651
291.93423,48.141651
288.75488,48.2262
296.28613,48.22467
296.28613,48.22467
296.28613,48.22467
286.99948,48.37579
286.80847,49.316399
292.24728,47.969521
281.28812,42.45108
295.64871,48.49556
288.13824,47.724449
283.71088,47.86327
292.37613,47.880989
292.37613,47.880989
292.37613,47.880989
290.46512,47.92918
297.80826,47.946671
294.26581,49.314091
291.72202,49.480869
286.99948,48.37579
286.99948,48.37579
297.02563,48.478588
285.71854,48.505859
285.71854,48.505859
292.16705,48.727589
298.45685,48.791592
287.88733,46.276241
295.55505,49.017342
285.49924,49.277351
291.93616,49.253979
297.01547,49.225288
291.62241,50.61824
295.81616,51.121738
295.81616,51.121738
289.39972,51.25032
300.86398,44.337551
287.88733,46.276241
286.73804,49.97575
286.73804,49.97575
286.73804,49.97575
290.78574,50.054119
285.17621,50.149818
293.83331,50.23035
296.22195,50.28722
290.09805,50.321609
295.45529,50.49456
293.97336,50.53191
293.97336,50.53191
296.02133,50.56778
300.86398,44.337551
291.65353,38.494659
291.65353,38.494659
296.36652,51.319519
296.36652,51.319519
289.11221,51.737381
291.43997,37.905659
290.87051,38.273628
286.07913,39.27832
286.07913,39.27832
300.86398,44.337551
286.07913,39.27832
294.65524,39.308361
294.71063,39.52174
293.87192,38.422939
290.33362,38.72823
285.28363,38.947281
300.86398,44.337551
285.28363,38.947281
285.28363,38.947281
285.21381,39.027481
287.09399,39.060719
289.31543,39.153278
286.07913,39.27832
290.46176,40.562462
297.02826,48.208611
290.46176,40.562462
290.46176,40.562462
290.58173,40.5774
294.4899,39.771439
283.86639,39.898079
283.86639,39.898079
288.81201,40.033401
297.02826,48.208611
294.77686,40.15374
283.25354,40.358189
283.22141,40.421829
283.22141,40.421829
291.14951,40.420521
299.3161,40.82238
292.23676,41.08588
297.02826,48.208611
292.23676,41.08588
287.89713,40.637821
287.89713,40.637821
287.89713,40.637821
287.89713,40.637821
297.02826,48.208611
287.89713,40.637821
294.20215,40.66341
294.20215,40.66341
291.15878,40.750271
291.15878,40.750271
293.87811,41.66177
299.18686,41.74268
283.31638,41.83712
286.5657,41.808399
286.5657,41.808399
292.23676,41.08588
292.91312,41.060921
292.91312,41.060921
293.49661,41.137589
283.86441,41.346458
288.51001,41.301769
296.88821,41.396091
287.1543,41.565788
287.36279,38.649601
288.9942,41.633282
292.10519,42.380322
291.63898,42.436321
291.63898,42.436321
291.63898,42.436321
289.50848,41.812119
291.76041,41.944069
285.11047,42.033958
294.55917,46.062328
285.11047,42.033958
290.00757,42.116459
293.81647,42.212502
287.24268,42.301369
287.24268,42.301369
287.24268,42.301369
294.55917,46.062328
292.87338,42.966141
292.87338,42.966141
292.87338,42.966141
292.87338,42.966141
294.90973,42.935261
291.63898,42.436321
292.13702,42.42942
292.13702,42.42942
289.26874,42.604172
289.26874,42.604172
291.96417,42.69614
296.48343,42.663429
296.48343,42.663429
296.69394,42.62611
293.63696,42.82497
293.63696,42.82497
293.63696,42.82497
297.46002,42.83992
290.39273,40.28487
290.39322,43.363899
290.39322,43.363899
292.96555,43.34639
294.90973,42.935261
288.64252,43.039291
284.48245,44.398041
288.64252,43.039291
288.64252,43.039291
294.77393,43.056301
294.77393,43.056301
294.77393,43.056301
295.65149,43.029831
291.1376,36.577381
282.69952,43.272739
283.63077,43.379398
297.45374,41.01099
295.53613,43.884449
285.16833,44.026459
285.16833,44.026459
292.92914,48.60281
293.0614,43.58136
293.0614,43.58136
299.56189,43.503559
282.23251,43.66563
282.23251,43.66563
290.39273,40.28487
282.23251,43.66563
296.98505,43.65852
296.98505,43.65852
296.98505,43.65852
281.96063,43.70311
290.26328,44.55645
290.26328,44.55645
295.57935,44.545959
295.57935,44.545959
284.83047,44.658138
285.16833,44.026459
285.16833,44.026459
285.16833,44.026459
289.59476,44.141949
289.59476,44.141949
289.59476,44.141949
296.56622,44.105862
296.56622,44.105862
296.56622,44.105862
292.92914,48.60281
296.56622,44.105862
298.63565,44.17094
284.43051,44.48053
285.55481,45.578861
296.39316,45.568562
288.90222,49.370491
293.45483,44.792789
283.97751,44.811562
291.71732,44.88731
291.84198,44.858089
291.84198,44.858089
291.84198,44.858089
294.84689,45.034409
291.09235,45.115528
286.36011,45.414291
292.58044,46.097389
292.58044,46.097389
292.58044,46.097389
292.58044,46.097389
297.04562,46.027359
289.60797,44.345421
288.1647,45.816509
288.1647,45.816509
288.1647,45.816509
294.02301,45.853081
294.02301,45.853081
294.02301,45.853081
283.73203,45.958771
283.73203,45.958771
296.20059,49.140121
293.01828,45.914688
296.06424,45.976841
296.06424,45.976841
296.06424,45.976841
290.41327,38.34375
290.41327,38.34375
290.41327,38.34375
296.98102,43.209751
296.23215,47.678959
291.65317,44.688271
292.7131,38.358212
292.7131,38.358212
286.49042,38.374908
295.92065,47.448608
295.92065,47.448608
292.0683,38.84227
282.00031,48.542221
287.36182,38.714016
296.86099,41.09734
296.86099,41.09734
294.16321,41.451801
286.49042,38.374908
286.49042,38.374908
287.44409,38.088428
295.58658,45.364979
290.51047,41.24482
290.51047,41.24482
290.51047,41.24482
290.51047,41.24482
290.60794,41.201092
289.7767,38.26228
291.97617,38.05508
291.97617,38.05508
291.42358,38.216591
300.51712,44.38158
291.0488,36.839882
291.92596,38.014118
291.92596,38.014118
291.65317,44.688271
290.88467,38.057571
291.03192,38.21196
293.80441,38.63913
293.80441,38.63913
300.51712,44.38158
295.57416,42.806438
291.36478,37.609169
291.36478,37.609169
285.24084,46.668251
296.68045,41.38652
293.08463,41.135441
293.08463,41.135441
293.08463,41.135441
293.74393,38.939281
292.57703,39.12088
291.69247,38.572899
300.51712,44.38158
293.56815,39.03632
296.49612,47.182861
291.49942,37.05928
290.72867,37.252651
293.08463,41.135441
290.1315,41.3815
299.13922,40.94902
290.21518,41.77597
293.87363,38.922482
290.72867,37.252651
287.5932,44.17942
290.21518,41.77597
291.43329,41.703442
287.27264,41.635559
292.47971,38.514919
292.47971,38.514919
292.47971,38.514919
292.46976,37.567791
292.46976,37.567791
292.04462,37.37624
287.5932,44.17942
294.48438,44.166908
294.48438,44.166908
299.13922,40.94902
293.56815,39.03632
293.56815,39.03632
290.0004,38.53989
295.97516,38.94664
292.04462,37.37624
290.68225,37.35511
288.4165,41.0298
290.5036,44.143581
291.27563,47.329491
282.72406,44.34647
287.47742,44.237511
297.31598,46.023258
297.00943,50.372318
297.31598,46.023258
297.31598,46.023258
284.68887,46.172249
298.07944,44.746319
292.26291,37.236992
291.14807,40.669399
299.83041,47.157459
299.83041,47.157459
299.83041,47.157459
299.13922,40.94902
285.62854,44.31089
285.39133,46.180939
297.9516,46.264721
