ra,dec
285.53461,48.28521
298.86435,42.151569
297.07993,47.597401
289.25821,47.635319
295.81454,47.69035
297.15442,47.668701
283.76547,47.804298
292.27374,37.671558
295.66522,49.351009
296.69861,49.316479
283.72592,49.479519
297.92365,48.777321
291.0939,48.933842
284.17233,49.360722
288.98682,49.733742
289.23553,50.241001
292.31595,38.27029
294.36819,38.31028
291.0448,51.321671
290.84369,37.728828
291.84891,37.713501
290.99689,38.28492
293.94116,38.601101
287.69675,38.886452
286.92639,38.921631
287.74881,38.92955
295.37805,40.493401
294.14789,40.055538
291.06152,50.265129
283.53845,40.217999
294.22397,40.417858
298.96112,40.862808
294.05676,40.549679
294.74396,40.53392
295.50439,40.505489
299.64285,40.691238
292.21436,40.759762
284.86929,41.679192
286.24356,42.148811
284.08731,42.233231
291.67172,42.343109
294.40192,50.172089
287.88412,42.832439
294.46088,38.383461
299.00143,43.399632
295.83536,42.943062
297.97513,43.164909
296.41019,43.455391
296.50754,44.036072
298.67862,44.175499
293.68494,45.51683
296.39542,45.56992
282.30603,44.714661
301.04956,44.706299
290.63898,44.806789
297.47586,41.114288
289.72748,45.367661
294.71768,45.48576
297.78848,45.565418
296.81772,46.781509
297.10349,47.64357
290.91119,38.335579
281.66916,42.038639
295.26682,38.61124
287.61633,39.127239
295.09866,41.007038
298.13589,41.332062
293.28799,41.560455
298.77325,41.214729
292.61194,43.305141
291.17068,38.008591
294.52557,38.204632
289.7962,38.351181
292.77588,47.461689
295.79526,47.66396
297.31006,49.703041
290.94437,38.538868
298.9917,41.074989
291.82181,41.11269
299.39972,45.316051
291.6069,38.348061
292.27905,38.284531
292.07849,38.631481
296.13391,38.999008
293.92599,38.73798
286.86926,39.103729
291.99988,38.437698
292.71964,48.852016
284.02679,49.415428
298.80411,40.843563
295.59872,50.720669
283.73642,44.71331
291.76196,37.09864
290.13492,38.404221
295.29193,38.964588
291.44507,38.637211
285.08026,39.18211
291.47629,38.50058
294.74054,39.015511
289.87411,49.68549
298.44775,47.264999
288.68259,41.30732
288.44287,41.17218
293.2735,41.25769
298.13794,41.334358
286.49072,37.489979
294.49011,38.194126
296.38229,48.045311
296.38229,48.045311
292.26181,41.442554
294.49011,38.194126
297.75708,41.680454
290.35294,41.769741
298.71152,41.635792
292.23679,41.7393
296.29855,41.602718
294.65121,38.636459
293.47363,46.970402
299.15353,40.286961
297.98123,41.44487
299.0209,44.17276
